"FID"	"OBJECTID"	"AmbulanceR"	"BikeAge_Gr"	"Bike_Age"	"Bike_Alc_D"	"Bike_Dir"	"Bike_Injur"	"Bike_Pos"	"Bike_Race"	"Bike_Sex"	"City"	"County"	"CrashAlcoh"	"CrashDay"	"Crash_Date"	"Crash_Grp"	"Crash_Hour"	"Crash_Loc"	"Crash_Mont"	"Crash_Time"	"Crash_Type"	"Crash_Ty_1"	"Crash_Year"	"Crsh_Sevri"	"Developmen"	"DrvrAge_Gr"	"Drvr_Age"	"Drvr_Alc_D"	"Drvr_EstSp"	"Drvr_Injur"	"Drvr_Race"	"Drvr_Sex"	"Drvr_VehTy"	"ExcsSpdInd"	"Hit_Run"	"Latitude"	"Light_Cond"	"Locality"	"Longitude"	"Num_Lanes"	"Num_Units"	"Rd_Charact"	"Rd_Class"	"Rd_Conditi"	"Rd_Config"	"Rd_Defects"	"Rd_Feature"	"Rd_Surface"	"Region"	"Rural_Urba"	"Speed_Limi"	"Traff_Cntr"	"Weather"	"Workzone_I"	"Location"
"2204"	186	187	"Yes"	"0-5"	"4"	"No"	"With Traffic"	"B: Evident Injury"	"Travel Lane"	"Black"	"Male"	"Charlotte"	"Mecklenburg"	"No"	"Monday"	"05/11/2009 12:00:00 AM"	"Crossing Paths - Other Circumstances"	16	"Intersection-Related"	"May"	"16:25"	"Crossing Paths - Uncontrolled Intersection"	211160	2009	"B: Evident Injury"	"Residential"	"60-69"	"63"	"No"	"41-45 mph"	"O: No Injury"	"White"	"Male"	"Passenger Car"	"No"	"No"	35.29627	"Daylight"	"Urban (>70% Developed)"	-80.83963	"2 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Coarse Asphalt"	"Piedmont"	"Urban"	"40 - 45  MPH"	"No Control Present"	"Clear"	"No"	"(35.29627, -80.83963)"
"2205"	187	188	"No"	"60-69"	"62"	"No"	"With Traffic"	"C: Possible Injury"	"Travel Lane"	"Black"	"Male"	"Rocky Mount"	"Edgecombe"	"No"	"Thursday"	"04/09/2009 12:00:00 AM"	"Bicyclist Left Turn / Merge"	14	"Non-Intersection"	"April"	"14:00"	"Bicyclist Left Turn - Same Direction"	311221	2009	"C: Possible Injury"	"Commercial"	"70+"	"70+"	"No"	"26-30 mph"	"O: No Injury"	"Black"	"Male"	"Pickup"	"No"	"No"	35.94431	"Daylight"	"Urban (>70% Developed)"	-77.79167	"4 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Divided, Unprotected Median"	"None"	"No Special Feature"	"Smooth Asphalt"	"Coastal"	"Urban"	"30 - 35  MPH"	"No Control Present"	"Clear"	"No"	"(35.94431, -77.79167)"
"2206"	188	189	"Yes"	"16-19"	"19"	"No"	"With Traffic"	"Injury"	"Travel Lane"	NA	NA	"Rocky Mount"	"Edgecombe"	"No"	"Tuesday"	"04/21/2009 12:00:00 AM"	"Other / Unusual Circumstances"	20	"Non-Intersection"	"April"	"20:06"	"Motorist Intentionally Caused"	311510	2009	"C: Possible Injury"	"Residential"	"0-19"	"19"	"No"	"31-35 mph"	"C: Possible Injury"	"Asian"	"Male"	"Sport Utility"	"No"	"Yes"	35.924282	"Dark - Lighted Roadway"	"Urban (>70% Developed)"	-77.78992	"2 lanes"	2	"Straight - Level"	"Local Street"	"Wet"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Coarse Asphalt"	"Coastal"	"Urban"	"30 - 35  MPH"	"No Control Present"	"Rain"	"No"	"(35.924282, -77.78992)"
"2207"	189	190	"Yes"	"40-49"	"41"	"No"	"With Traffic"	"B: Evident Injury"	"Travel Lane"	"White"	"Male"	"Cary"	"Wake"	"No"	"Thursday"	"05/28/2009 12:00:00 AM"	"Motorist Overtaking Bicyclist"	12	"Intersection"	"May"	"12:41"	"Motorist Overtaking - Bicyclist Swerved"	111235	2009	"B: Evident Injury"	"Commercial"	"20-24"	"22"	"No"	"36-40 mph"	"O: No Injury"	"White"	"Female"	"Sport Utility"	"No"	"No"	35.830093	"Daylight"	"Urban (>70% Developed)"	-78.77439	"4 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Divided, Unprotected Median"	"None"	"No Special Feature"	"Smooth Asphalt"	"Piedmont"	"Urban"	"40 - 45  MPH"	"No Control Present"	"Clear"	"No"	"(35.830093, -78.77439)"
"2208"	190	191	"Yes"	"20-24"	"24"	"No"	"With Traffic"	"C: Possible Injury"	"Travel Lane"	"White"	"Male"	"Durham"	"Durham"	"No"	"Monday"	"05/25/2009 12:00:00 AM"	"Motorist Left Turn / Merge"	18	"Intersection"	"May"	"18:14"	"Motorist Left Turn - Opposite Direction"	111212	2009	"C: Possible Injury"	"Residential"	"40-49"	"46"	"No"	"6-10 mph"	"O: No Injury"	"Black"	"Male"	"Passenger Car"	"No"	"No"	36.016857	"Daylight"	"Urban (>70% Developed)"	-78.911835	"5 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Piedmont"	"Urban"	"30 - 35  MPH"	"Stop And Go Signal"	"Clear"	"No"	"(36.016857, -78.911835)"
"2209"	191	192	"Yes"	"40-49"	"49"	"No"	"With Traffic"	"B: Evident Injury"	"Bike Lane / Paved Shoulder"	"White"	"Male"	"None - Rural Crash"	"Buncombe"	"No"	"Thursday"	"05/28/2009 12:00:00 AM"	"Motorist Overtaking Bicyclist"	21	"Non-Intersection"	"May"	"21:06"	"Motorist Overtaking - Other /"	321239	2009	"B: Evident Injury"	"Farms, Woods, Pastures"	"25-29"	"28"	"No"	"36-40 mph"	"O: No Injury"	"White"	"Male"	"Passenger Car"	"No"	"No"	35.619415	"Dark - Roadway Not Lighted"	"Rural (<30% Developed)"	-82.65276	"5 lanes"	2	"Straight - Level"	"NC Route"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Mountains"	"Rural"	"50 - 55  MPH"	"No Control Present"	"Clear"	"No"	"(35.619415, -82.65276)"
"2210"	192	193	"No"	"10-Jun"	"7"	"No"	"Not Applicable"	"C: Possible Injury"	"Non-Roadway"	"Black"	"Female"	"Statesville"	"Iredell"	"No"	"Monday"	"05/18/2009 12:00:00 AM"	"Bicyclist Failed to Yield - Midblock"	19	"Non-Intersection"	"May"	"19:30"	"Multiple Threat - Midblock"	363357	2009	"C: Possible Injury"	"Residential"	"20-24"	"20"	"No"	"16-20 mph"	"O: No Injury"	"Hispanic"	"Male"	"Passenger Car"	"No"	"No"	35.768757	NA	"Urban (>70% Developed)"	-80.88686	"2 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Piedmont"	"Urban"	"30 - 35  MPH"	"No Control Present"	"Clear"	"No"	"(35.768757, -80.88686)"
"2211"	193	194	"Yes"	"20-24"	"21"	"No"	"Not Applicable"	"C: Possible Injury"	"Sidewalk / Crosswalk / Driveway Crossing"	"White"	"Male"	"Kannapolis"	"Rowan"	"No"	"Monday"	"05/18/2009 12:00:00 AM"	"Motorist Failed to Yield - Midblock"	13	"Non-Intersection"	"May"	"13:42"	"Motorist Drive Out - Residential Driveway"	333321	2009	"C: Possible Injury"	"Commercial"	"40-49"	"43"	"No"	"0-5 mph"	"O: No Injury"	"Black"	"Male"	"Passenger Car"	"No"	"No"	35.50998	"Daylight"	"Urban (>70% Developed)"	-80.61559	"2 lanes"	2	"Straight - Level"	"NC Route"	"Dry"	NA	"None"	"Driveway, Public"	"Smooth Asphalt"	"Piedmont"	"Urban"	"30 - 35  MPH"	"No Control Present"	"Clear"	"No"	"(35.50998, -80.61559)"
"2212"	194	195	"Yes"	"40-49"	"44"	"No"	"With Traffic"	"B: Evident Injury"	"Travel Lane"	"White"	"Male"	"Conover"	"Catawba"	"No"	"Sunday"	"05/31/2009 12:00:00 AM"	"Motorist Overtaking Bicyclist"	18	"Non-Intersection"	"May"	"18:26"	"Motorist Overtaking - Other /"	311239	2009	"B: Evident Injury"	"Commercial"	"0-19"	"19"	"No"	"41-45 mph"	"O: No Injury"	"White"	"Male"	"Pickup"	"No"	"No"	35.718845	"Daylight"	"Urban (>70% Developed)"	-81.19266	"2 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Piedmont"	"Urban"	"40 - 45  MPH"	"No Control Present"	"Clear"	"No"	"(35.718845, -81.19266)"
"2213"	195	196	"Yes"	"10-Jun"	"10"	"No"	"Not Applicable"	"B: Evident Injury"	"Driveway / Alley"	"Black"	"Male"	"None - Rural Crash"	"Cabarrus"	"No"	"Saturday"	"05/16/2009 12:00:00 AM"	"Loss of Control / Turning Error"	19	"Non-Intersection"	"May"	"19:30"	"Bicyclist Lost Control - Other /"	353129	2009	"B: Evident Injury"	"Residential"	"20-24"	"22"	"No"	"31-35 mph"	"O: No Injury"	"Black"	"Male"	"Passenger Car"	"No"	"No"	35.291553	"Daylight"	"Mixed (30% To 70% Developed)"	-80.63521	"2 lanes"	2	"Curve - Grade"	"State Secondary Route"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Coarse Asphalt"	"Piedmont"	"Rural"	"30 - 35  MPH"	"No Control Present"	"Clear"	"No"	"(35.291553, -80.63521)"
"2214"	196	197	"No"	"50-59"	"54"	"Yes"	"With Traffic"	"C: Possible Injury"	"Travel Lane"	"Black"	"Male"	"Rocky Mount"	"Edgecombe"	"Yes"	"Friday"	"04/03/2009 12:00:00 AM"	"Bicyclist Failed to Yield - Sign-Controlled Intersection"	14	"Intersection"	"April"	"14:08"	"Bicyclist Ride Out - Sign-Controlled Intersection"	111142	2009	"C: Possible Injury"	"Residential"	"30-39"	"35"	"No"	"26-30 mph"	"O: No Injury"	"Black"	"Female"	"Passenger Car"	"No"	"No"	35.946587	"Daylight"	"Urban (>70% Developed)"	-77.78812	"4 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Coastal"	"Urban"	"30 - 35  MPH"	"Stop Sign"	"Clear"	"No"	"(35.946587, -77.78812)"
"2215"	197	198	"Yes"	"50-59"	"50"	"No"	"Not Applicable"	"C: Possible Injury"	"Sidewalk / Crosswalk / Driveway Crossing"	"Black"	"Male"	"Rocky Mount"	"Nash"	"No"	"Wednesday"	"04/01/2009 12:00:00 AM"	"Motorist Failed to Yield - Sign-Controlled Intersection"	15	"Intersection"	"April"	"15:41"	"Motorist Drive Out - Sign-Controlled Intersection"	133141	2009	"C: Possible Injury"	"Residential"	"0-19"	"19"	"No"	"0-5 mph"	"O: No Injury"	"Black"	"Female"	"Passenger Car"	"No"	"No"	35.923088	"Daylight"	"Urban (>70% Developed)"	-77.80523	"5 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Coastal"	"Urban"	"30 - 35  MPH"	"No Control Present"	"Cloudy"	"No"	"(35.923088, -77.80523)"
"2216"	198	199	"Yes"	"50-59"	"58"	"No"	"Facing Traffic"	"C: Possible Injury"	"Non-Roadway"	"Black"	"Male"	"Asheville"	"Buncombe"	"No"	"Sunday"	"05/17/2009 12:00:00 AM"	"Bicyclist Failed to Yield - Midblock"	12	"Non-Intersection"	"May"	"12:01"	"Bicyclist Ride Out - Other Midblock"	362318	2009	"C: Possible Injury"	"Commercial"	"60-69"	"63"	"No"	"6-10 mph"	"O: No Injury"	"White"	"Male"	"Passenger Car"	"No"	"No"	35.5868	"Daylight"	"Urban (>70% Developed)"	-82.586754	"2 lanes"	2	"Straight - Level"	"Local Street"	"Wet"	"Two-Way, Not Divided"	"None"	"T-Intersection"	"Concrete"	"Mountains"	"Urban"	"20 - 25  MPH"	"No Control Present"	"Rain"	"No"	"(35.5868, -82.586754)"
"2217"	199	200	"Yes"	"10-Jun"	"8"	"No"	"Not Applicable"	"B: Evident Injury"	NA	"Black"	"Male"	"Shelby"	"Cleveland"	"No"	"Tuesday"	"05/19/2009 12:00:00 AM"	"Bicyclist Failed to Yield - Midblock"	19	"Non-Intersection"	"May"	"19:30"	"Multiple Threat - Midblock"	393357	2009	"B: Evident Injury"	"Residential"	"30-39"	"32"	"No"	"6-10 mph"	"O: No Injury"	"Black"	"Female"	"Passenger Car"	"No"	"No"	35.30953	"Daylight"	"Urban (>70% Developed)"	-81.53099	"2 lanes"	2	"Curve - Grade"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Coarse Asphalt"	"Mountains"	"Urban"	"30 - 35  MPH"	"No Control Present"	"Clear"	"No"	"(35.30953, -81.53099)"
"2218"	200	201	"No"	"20-24"	"24"	"No"	"With Traffic"	"O: No Injury"	"Travel Lane"	"White"	"Male"	"None - Rural Crash"	"Robeson"	"No"	"Saturday"	"05/30/2009 12:00:00 AM"	"Motorist Overtaking Bicyclist"	21	"Non-Intersection"	"May"	"21:28"	"Motorist Overtaking - Misjudged Space"	311232	2009	"O: No Injury"	"Farms, Woods, Pastures"	"25-29"	"29"	"No"	"51-55 mph"	"O: No Injury"	"White"	"Male"	"Passenger Car"	"No"	"No"	34.6423	"Dark - Roadway Not Lighted"	"Rural (<30% Developed)"	-78.941635	"2 lanes"	2	"Straight - Level"	"NC Route"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Coarse Asphalt"	"Coastal"	"Rural"	"50 - 55  MPH"	"No Control Present"	"Clear"	"No"	"(34.6423, -78.941635)"
"2219"	201	202	"No"	"30-39"	"33"	"No"	"With Traffic"	"B: Evident Injury"	"Travel Lane"	"White"	"Female"	"None - Rural Crash"	"Burke"	"No"	"Friday"	"05/08/2009 12:00:00 AM"	"Other / Unusual Circumstances"	15	"Intersection"	"May"	"15:45"	"Bicyclist Intentionally Caused"	111520	2009	"B: Evident Injury"	"Residential"	"60-69"	"65"	"No"	"0-5 mph"	"O: No Injury"	"White"	"Female"	"School Bus"	"No"	"No"	35.689613	"Daylight"	"Mixed (30% To 70% Developed)"	-81.49191	"2 lanes"	2	"Straight - Level"	"State Secondary Route"	"Dry"	"Two-Way, Not Divided"	"None"	"Related To Intersection"	"Smooth Asphalt"	"Mountains"	"Rural"	"50 - 55  MPH"	"Stop Sign"	"Clear"	"No"	"(35.689613, -81.49191)"
"2220"	202	203	"Yes"	"25-29"	"25"	"No"	"With Traffic"	"B: Evident Injury"	"Travel Lane"	"Black"	"Male"	"Fayetteville"	"Cumberland"	"No"	"Sunday"	"05/31/2009 12:00:00 AM"	"Bicyclist Failed to Yield - Sign-Controlled Intersection"	12	"Intersection"	"May"	"12:32"	"Bicyclist Ride Out - Sign-Controlled Intersection"	111142	2009	"B: Evident Injury"	"Residential"	"30-39"	"30"	"No"	"21-25 mph"	"O: No Injury"	"White"	"Male"	"Passenger Car"	"No"	"No"	35.097603	"Daylight"	"Urban (>70% Developed)"	-78.95288	"2 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"Four-Way Intersection"	"Concrete"	"Coastal"	"Urban"	"20 - 25  MPH"	"Stop Sign"	"Clear"	"No"	"(35.097603, -78.95288)"
"2221"	203	204	"Yes"	"16-19"	"16"	"No"	"With Traffic"	"A: Disabling Injury"	"Travel Lane"	"Other"	"Male"	"Raleigh"	"Wake"	"No"	"Saturday"	"05/09/2009 12:00:00 AM"	"Bicyclist Left Turn / Merge"	15	"Non-Intersection"	"May"	"15:17"	"Bicyclist Left Turn - Opposite Direction"	311222	2009	"A: Disabling Injury"	"Residential"	"40-49"	"42"	"No"	"31-35 mph"	"O: No Injury"	"Black"	"Female"	"Sport Utility"	"No"	"No"	35.830837	"Daylight"	"Urban (>70% Developed)"	-78.67436	"2 lanes"	2	"Straight - Bottom"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Piedmont"	"Urban"	"30 - 35  MPH"	"No Control Present"	"Clear"	"No"	"(35.830837, -78.67436)"
"2222"	204	205	"No"	"60-69"	"64"	"No"	"With Traffic"	"C: Possible Injury"	"Bike Lane / Paved Shoulder"	"White"	"Male"	"None - Rural Crash"	"Orange"	"No"	"Tuesday"	"06/02/2009 12:00:00 AM"	"Loss of Control / Turning Error"	9	"Non-Intersection"	"June"	"9:13"	"Motorist Lost Control - Other /"	321139	2009	"C: Possible Injury"	"Farms, Woods, Pastures"	NA	NA	"No"	"36-40 mph"	"Injury"	NA	NA	NA	"No"	"Yes"	35.921856	"Daylight"	"Rural (<30% Developed)"	-79.10786	"2 lanes"	2	"Straight - Level"	"NC Route"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Piedmont"	"Rural"	"40 - 45  MPH"	"Double Yellow Line, No Passing Zone"	"Clear"	"No"	"(35.921856, -79.10786)"
"2223"	205	206	"No"	"30-39"	"36"	"No"	"With Traffic"	"O: No Injury"	"Bike Lane / Paved Shoulder"	"White"	"Female"	"None - Rural Crash"	"Chowan"	"No"	"Monday"	"06/01/2009 12:00:00 AM"	"Motorist Overtaking Bicyclist"	11	"Non-Intersection"	"June"	"11:22"	"Motorist Overtaking - Misjudged Space"	321232	2009	"O: No Injury"	"Farms, Woods, Pastures"	"50-59"	"59"	"No"	"31-35 mph"	"O: No Injury"	"Black"	"Male"	"Pickup"	"No"	"No"	36.07037	"Daylight"	"Rural (<30% Developed)"	-76.64611	"2 lanes"	2	"Straight - Level"	"State Secondary Route"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Coastal"	"Rural"	"40 - 45  MPH"	"Double Yellow Line, No Passing Zone"	"Clear"	"No"	"(36.07037, -76.64611)"
"2224"	206	207	"Yes"	"16-19"	"18"	"No"	"With Traffic"	"C: Possible Injury"	"Travel Lane"	"White"	"Male"	"Gastonia"	"Gaston"	"No"	"Wednesday"	"05/13/2009 12:00:00 AM"	"Crossing Paths - Other Circumstances"	16	"Intersection"	"May"	"16:22"	"Crossing Paths - Intersection - Other /"	111180	2009	"C: Possible Injury"	"Commercial"	"40-49"	"43"	"No"	"36-40 mph"	"O: No Injury"	"White"	"Male"	"Passenger Car"	"No"	"No"	35.257607	"Daylight"	"Urban (>70% Developed)"	-81.20751	"5 lanes"	2	"Straight - Level"	"State Secondary Route"	"Dry"	"Two-Way, Not Divided"	"None"	"Four-Way Intersection"	"Smooth Asphalt"	"Piedmont"	"Urban"	"40 - 45  MPH"	"Stop And Go Signal"	"Cloudy"	"No"	"(35.257607, -81.20751)"
"2225"	207	208	"No"	"20-24"	"21"	"No"	"Not Applicable"	"O: No Injury"	"Other"	"Black"	"Male"	"Fayetteville"	"Cumberland"	"No"	"Wednesday"	"05/20/2009 12:00:00 AM"	"Bicyclist Failed to Yield - Midblock"	21	"Non-Intersection"	"May"	"21:46"	"Bicyclist Ride Out - Midblock -"	383319	2009	"O: No Injury"	"Commercial"	"70+"	"70+"	"No"	"16-20 mph"	"O: No Injury"	"Black"	"Male"	"Passenger Car"	"No"	"No"	35.053764	"Dark - Lighted Roadway"	"Urban (>70% Developed)"	-78.8665	"4 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Concrete"	"Coastal"	"Urban"	"30 - 35  MPH"	"No Control Present"	"Clear"	"No"	"(35.053764, -78.8665)"
"2226"	208	209	"Yes"	"0-5"	"5"	"No"	"With Traffic"	"B: Evident Injury"	"Travel Lane"	"White"	"Female"	"Oak Island"	"Brunswick"	"No"	"Sunday"	"05/17/2009 12:00:00 AM"	"Bicyclist Failed to Yield - Midblock"	12	"Non-Intersection"	"May"	"12:10"	"Bicyclist Ride Out - Other Midblock"	311318	2009	"B: Evident Injury"	"Residential"	"25-29"	"28"	"No"	"36-40 mph"	"O: No Injury"	"White"	"Female"	"Sport Utility"	"No"	"No"	33.920334	"Daylight"	"Urban (>70% Developed)"	-78.128624	"2 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Coastal"	"Urban"	"30 - 35  MPH"	"No Control Present"	"Clear"	"No"	"(33.920334, -78.128624)"
"2227"	209	210	"Yes"	"10-Jun"	"10"	"No"	"Not Applicable"	"A: Disabling Injury"	"Non-Roadway"	"White"	"Male"	"Oak Island"	"Brunswick"	"No"	"Sunday"	"05/17/2009 12:00:00 AM"	"Bicyclist Failed to Yield - Midblock"	5	"Non-Intersection"	"May"	"5:23"	"Bicyclist Ride Out - Commercial Driveway / Alley"	363312	2009	"A: Disabling Injury"	"Commercial"	"40-49"	"45"	"No"	"31-35 mph"	"O: No Injury"	"White"	"Male"	"Sport Utility"	"No"	"No"	33.91148	"Daylight"	"Urban (>70% Developed)"	-78.10083	"3 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Coastal"	"Urban"	"30 - 35  MPH"	"No Control Present"	"Cloudy"	"No"	"(33.91148, -78.10083)"
"2228"	210	211	"Yes"	"50-59"	"54"	"No"	"Facing Traffic"	"K: Killed"	"Sidewalk / Crosswalk / Driveway Crossing"	"Black"	"Male"	"Greenville"	"Pitt"	"No"	"Thursday"	"03/26/2009 12:00:00 AM"	"Motorist Failed to Yield - Sign-Controlled Intersection"	12	"Intersection"	"March"	"12:53"	"Motorist Drive Out - Sign-Controlled Intersection"	132141	2009	"K: Killed"	"Commercial"	"25-29"	"26"	"No"	NA	"O: No Injury"	"White"	"Male"	"Other Bus"	"No"	"No"	35.605198	"Daylight"	"Urban (>70% Developed)"	-77.36912	"5 lanes"	2	"Straight - Level"	"State Secondary Route"	"Wet"	"Two-Way, Not Divided"	"None"	"Four-Way Intersection"	"Smooth Asphalt"	"Coastal"	"Urban"	"30 - 35  MPH"	"Stop Sign"	"Cloudy"	"No"	"(35.605198, -77.36912)"
"2229"	211	212	"Yes"	"40-49"	"42"	"No"	"With Traffic"	"B: Evident Injury"	"Travel Lane"	"Black"	"Male"	"High Point"	"Guilford"	"No"	"Friday"	"05/15/2009 12:00:00 AM"	"Motorist Left Turn / Merge"	22	"Intersection"	"May"	"22:39"	"Motorist Left Turn - Opposite Direction"	111212	2009	"B: Evident Injury"	"Commercial"	"0-19"	"18"	"No"	"31-35 mph"	"O: No Injury"	"White"	"Male"	"Passenger Car"	"No"	"No"	35.987892	"Dark - Lighted Roadway"	"Urban (>70% Developed)"	-80.02494	"2 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Coarse Asphalt"	"Piedmont"	"Urban"	"30 - 35  MPH"	"Stop Sign"	"Cloudy"	"No"	"(35.987892, -80.02494)"
"2230"	212	213	"Yes"	"15-Nov"	"13"	"No"	"With Traffic"	"B: Evident Injury"	"Travel Lane"	"Black"	"Male"	"Chapel Hill"	"Orange"	"No"	"Saturday"	"05/16/2009 12:00:00 AM"	"Bicyclist Overtaking Motorist"	15	"Non-Intersection"	"May"	"15:13"	"Bicyclist Overtaking - Passing on Right"	311241	2009	"B: Evident Injury"	"Commercial"	"40-49"	"44"	"No"	NA	"O: No Injury"	"White"	"Female"	"Sport Utility"	"No"	"No"	35.914276	"Daylight"	"Urban (>70% Developed)"	-79.052704	"4 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Piedmont"	"Urban"	"20 - 25  MPH"	"Stop And Go Signal"	"Clear"	"No"	"(35.914276, -79.052704)"
"2231"	213	214	"No"	"25-29"	"29"	"No"	"With Traffic"	"C: Possible Injury"	"Travel Lane"	"White"	"Male"	"Boone"	"Watauga"	"No"	"Wednesday"	"05/20/2009 12:00:00 AM"	"Motorist Overtaking Bicyclist"	19	"Non-Intersection"	"May"	"19:33"	"Motorist Overtaking - Undetected Bicyclist"	311231	2009	"C: Possible Injury"	"Commercial"	"40-49"	"46"	"No"	"31-35 mph"	"O: No Injury"	"White"	"Male"	"Passenger Car"	"No"	"No"	36.20492	"Daylight"	"Urban (>70% Developed)"	-81.69358	"5 lanes"	2	"Straight - Level"	"US Route"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Mountains"	"Urban"	"30 - 35  MPH"	"No Control Present"	"Clear"	"No"	"(36.20492, -81.69358)"
"2232"	214	215	"No"	"15-Nov"	"15"	"No"	"Facing Traffic"	"C: Possible Injury"	"Sidewalk / Crosswalk / Driveway Crossing"	"Black"	"Male"	"Greensboro"	"Guilford"	"No"	"Wednesday"	"05/20/2009 12:00:00 AM"	"Crossing Paths - Other Circumstances"	16	"Intersection"	"May"	"16:01"	"Signalized Intersection - Other /"	132158	2009	"C: Possible Injury"	"Residential"	"30-39"	"32"	"No"	"0-5 mph"	"O: No Injury"	"Black"	"Female"	"Passenger Car"	"No"	"No"	36.02145	"Daylight"	"Urban (>70% Developed)"	-79.83041	"3 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"T-Intersection"	"Smooth Asphalt"	"Piedmont"	"Urban"	"30 - 35  MPH"	"Stop And Go Signal"	"Clear"	"No"	"(36.02145, -79.83041)"
"2233"	215	216	"No"	"30-39"	"38"	"No"	"With Traffic"	"C: Possible Injury"	"Travel Lane"	"White"	"Male"	"None - Rural Crash"	"Union"	"No"	"Tuesday"	"05/19/2009 12:00:00 AM"	"Motorist Right Turn / Merge"	15	"Non-Intersection"	"May"	"15:15"	"Motorist Right Turn - Same Direction"	311213	2009	"C: Possible Injury"	"Residential"	"0-19"	"17"	"No"	"11-15 mph"	"O: No Injury"	"White"	"Female"	"Passenger Car"	"No"	"No"	35.056263	"Daylight"	"Urban (>70% Developed)"	-80.73439	"2 lanes"	2	"Straight - Level"	"State Secondary Route"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Piedmont"	"Rural"	"40 - 45  MPH"	"Double Yellow Line, No Passing Zone"	"Clear"	"No"	"(35.056263, -80.73439)"
"2234"	216	217	"Yes"	"40-49"	"46"	"No"	"Not Applicable"	"B: Evident Injury"	"Travel Lane"	"White"	"Male"	"Durham"	"Durham"	"No"	"Friday"	"05/22/2009 12:00:00 AM"	"Non-Roadway"	12	"Non-Roadway"	"May"	"12:51"	"Non-Roadway"	410910	2009	"B: Evident Injury"	"Institutional"	"40-49"	"41"	"No"	"0-5 mph"	"O: No Injury"	"White"	"Female"	"Passenger Car"	"No"	"No"	36.00432	"Daylight"	"Urban (>70% Developed)"	-78.93957	"2 lanes"	2	"Straight - Grade"	"Public Vehicular Area"	"Dry"	"Two-Way, Not Divided"	"None"	"Driveway, Private"	"Coarse Asphalt"	"Piedmont"	"Urban"	"20 - 25  MPH"	"No Control Present"	"Cloudy"	"No"	"(36.00432, -78.93957)"
